熱亞美利加諾(小),10,1,0,2
冰亞美利加諾,10,1,0,2
冰摩卡(中),160,5,5,12
冰摩卡(大),230,7,8,32
冰焦糖瑪其朵 (中),150,5,6,19
冰焦糖瑪其朵 (大),200,8,8,24
英式風味茶,5,0,0,1
焦糖那提法沛冰沙 (中),430,6,15,67
焦糖那提法沛冰沙 (大),600,9,19,98
摩卡法沛冰沙(中),410,7,15,63
摩卡法沛冰沙(大),580,10,18,93
巧克力法沛冰沙(中),410,8,15,62
巧克力法沛冰沙(大),590,12,19,93
芒果萊姆法沛冰沙,260,1,7,48
冰巧克力,300,7,15,34
Subway火腿,325,18,4.7,46
Subway香烤雞肉,322,23,5.2,47
Subway燒烤牛肉,338,24,4.1,45
Subway百味俱樂部,330,23,4.4,46
Subway照燒雞肉,366,25,4.6,57
Subway嫩切雞肉,303,18,3.4,46
Subway火雞胸肉,299,18,3.8,46
Subway火雞火腿,320,18,4.4,46
Subway素食蔬菜,251,8,2.8,44
Subway臘腸協奏曲,360,17,12,46
Subway義大利經典,410,20,16,46
Subway義大利雞肉丸,480,21,18,59
Subway起司牛排,380,26,10,48
Subway鮪魚,480,20,25,44
Subway香熱起司,380,26,10,48
Subway辣味雞肉,370,25,4.5,57
牛小排,390,11.7,37.7,0
牛肉乾,321,38,4.6,32.4
羊肉,198,18.8,13,0
大里肌(豬),187,22.2,10.2,0
五花肉(豬),393,14.5,36.7,0
梅花肉(豬),341,15.2,30.6,0.1
豬腳,223,21.7,14.4,0
豬肝,119,21.7,2.9,2
豬血,19,3.1,0.6,0
豬血糕,201,8.2,1.1,40
炸排骨,251,12.9,13.5,19.8
豬肉乾,325,31.2,5,39.2
西式火腿,138,15.8,3.3,11.5
火腿,149,16.7,3.9,12
香腸,344,16.9,24.6,14.4
培根,309,14.8,27,2.1
熱狗,246,13.2,17.7,8.9
鴨血,23,4.3,0.5,2.9
鵝肉,187,15.6,13.4,2.4
雞胸肉,115,22.9,1.9,2
雞腿,143,18.5,7.1,0
棒棒腿,141,18.4,6.9,0.2
優格,58,10,0.4,3.6
光泉鮮豆漿,54.9,3.6,1.7,6.3
光泉低糖豆漿,43.7,4.4,1.7,2
統一豆漿,60,3.6,2,7.5
統一低糖高纖豆漿,44.5,3,2,5
義美有糖豆漿,54.9,2.9,1.7,7
義美低糖豆漿,43,3.2,1.8,3.5
Subway辣味雞肉,370,25,4.5,57
優格,58,10,0.4,3.6
